Date,Exchange Rate,WTI  Cushing,"Brent Sullom Voe,  UK",Edmonton_Price,Synthetic  Edmonton,Western Canada Select  Hardisty,Implied Bitumen  Hardisty
2019-09-01,-,-,-,-,-,-,-
2019-09-02,-,-,-,-,-,-,-
2019-09-03,1.3337,453,490,422,462,361,347
2019-09-04,1.3224,468,505,429,474,371,355
2019-09-05,1.3230,469,510,430,477,368,352
2019-09-06,1.3173,468,515,432,476,367,348
2019-09-07,-,-,-,-,-,-,-
2019-09-08,-,-,-,-,-,-,-
2019-09-09,1.3168,479,525,445,489,375,354
2019-09-10,1.3152,475,524,441,483,377,357
2019-09-11,1.3194,463,511,430,477,365,344
2019-09-12,1.3210,458,505,418,465,357,333
2019-09-13,1.3288,458,507,422,463,356,329
2019-09-14,-,-,-,-,-,-,-
2019-09-15,-,-,-,-,-,-,-
2019-09-16,1.3240,524,569,483,527,420,399
2019-09-17,1.3244,494,537,453,496,376,350
2019-09-18,1.3289,486,535,442,491,379,352
2019-09-19,1.3260,485,540,445,493,378,350
2019-09-20,1.3263,485,539,437,495,379,351
2019-09-21,-,-,-,-,-,-,-
2019-09-22,-,-,-,-,-,-,-
2019-09-23,1.3263,488,533,438,495,378,348
2019-09-24,1.3243,476,516,426,483,369,341
2019-09-25,1.3268,470,518,422,480,365,337
2019-09-26,1.3268,471,518,423,459,365,336
2019-09-27,1.3247,466,514,417,457,359,331
2019-09-28,-,-,-,-,-,-,-
2019-09-29,-,-,-,-,-,-,-
2019-09-30,1.3241,450,498,406,441,345,316
,1.3240,474,521,433,479,371,347
